,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_temperature,weather_wind_mph,score_home,score_away,stadium_neutral,home_favorite,away_favorite,over,neutral,playoff,elo1_pre,elo2_pre,qbelo_prob1,result
111,1979-10-22,1979,8,PIT,DEN,PIT,-7.0,37.0,68.0,9.0,42.0,7.0,0,1.0,0.0,1.0,0.0,,1657.374,1599.505,0.614578194412,1
112,1979-10-25,1979,9,LVR,LAC,LAC,-1.0,41.0,66.0,17.0,45.0,22.0,0,0.0,1.0,1.0,,,,,,1
113,1979-10-28,1979,9,IND,NE,NE,-4.0,37.0,46.0,6.0,31.0,26.0,0,0.0,1.0,1.0,0.0,,1355.754,1620.331,0.2609321135,1
114,1979-10-28,1979,9,CIN,PHI,CIN,-3.0,38.0,58.0,11.0,37.0,13.0,0,1.0,0.0,1.0,0.0,,1450.591,1571.465,0.41729951918,1
115,1979-10-28,1979,9,DEN,KC,DEN,-7.0,34.0,47.0,7.0,20.0,3.0,0,1.0,0.0,0.0,0.0,,1577.091,1446.454,0.759839107099,1
116,1979-10-28,1979,9,DET,BUF,BUF,-3.0,38.0,72.0,0.0,17.0,20.0,0,0.0,1.0,0.0,0.0,,1370.856,1441.879,0.466126712947,0
117,1979-10-28,1979,9,TEN,NYJ,TEN,-6.0,42.0,72.0,0.0,27.0,24.0,0,1.0,0.0,1.0,0.0,,1545.136,1501.101,0.615925556628,1
118,1979-10-28,1979,9,LAR,NYG,LAR,-6.0,37.0,62.0,8.0,14.0,20.0,0,1.0,0.0,0.0,0.0,,1528.027,1411.075,0.72033284546,0
119,1979-10-28,1979,9,MIA,GB,MIA,-11.0,36.0,75.0,13.0,27.0,7.0,0,1.0,0.0,0.0,0.0,,1567.844,1427.216,0.73307711243,1
120,1979-10-28,1979,9,MIN,TB,PICK,0.0,37.0,47.0,5.0,10.0,12.0,0,0.0,0.0,0.0,0.0,,1464.766,1470.823,0.584198989949,0
121,1979-10-28,1979,9,PIT,DAL,PIT,-3.0,39.0,51.0,12.0,14.0,3.0,0,1.0,0.0,0.0,0.0,,1679.787,1697.067,0.558764927358,1
122,1979-10-28,1979,9,SF,CHI,CHI,-3.0,39.0,60.0,17.0,27.0,28.0,0,0.0,1.0,1.0,0.0,,1310.328,1463.819,0.423069628989,0
123,1979-10-28,1979,9,ARI,CLE,ARI,-3.0,42.0,60.0,8.0,20.0,38.0,0,1.0,0.0,1.0,0.0,,1464.871,1503.8,0.516141868915,0
124,1979-10-28,1979,9,WAS,NO,WAS,-6.0,40.0,51.0,10.0,10.0,14.0,0,1.0,0.0,0.0,0.0,,1572.782,1473.995,0.741457142062,0
125,1979-10-29,1979,9,ATL,SEA,SEA,-2.0,42.0,60.0,9.0,28.0,31.0,0,0.0,1.0,1.0,0.0,,1443.723,1483.631,0.51830990436,0
126,1979-11-04,1979,10,ATL,TB,ATL,-2.0,37.0,49.0,10.0,17.0,14.0,0,1.0,0.0,0.0,0.0,,1428.689,1484.008,0.494745031695,1
127,1979-11-04,1979,10,IND,CIN,IND,-3.0,42.0,45.0,10.0,38.0,28.0,0,1.0,0.0,1.0,0.0,,1385.678,1488.884,0.463223862846,1
128,1979-11-04,1979,10,BUF,NE,NE,-5.0,41.0,42.0,11.0,6.0,26.0,0,0.0,1.0,0.0,0.0,,1455.464,1590.406,0.38119140513,0
129,1979-11-04,1979,10,CHI,DET,CHI,-7.0,35.0,38.0,9.0,35.0,7.0,0,1.0,0.0,1.0,0.0,,1468.821,1357.27,0.69323381616,1
130,1979-11-04,1979,10,DEN,NO,DEN,-6.0,37.0,38.0,7.0,10.0,3.0,0,1.0,0.0,0.0,0.0,,1590.091,1499.023,0.755077122293,1
131,1979-11-04,1979,10,GB,NYJ,NYJ,-4.0,39.0,34.0,10.0,22.0,27.0,0,0.0,1.0,1.0,0.0,,1414.164,1491.907,0.466285485369,0
132,1979-11-04,1979,10,KC,LAC,LAC,-6.0,37.0,47.0,16.0,14.0,20.0,0,0.0,1.0,0.0,0.0,,1433.455,1594.748,0.340664150854,0
133,1979-11-04,1979,10,NYG,DAL,DAL,-8.0,38.0,47.0,13.0,14.0,16.0,0,0.0,1.0,0.0,0.0,,1442.483,1676.065,0.291662790737,0
134,1979-11-04,1979,10,LVR,SF,LVR,-12.0,44.0,59.0,9.0,23.0,10.0,0,1.0,0.0,0.0,,,,,,1
135,1979-11-04,1979,10,PHI,CLE,PHI,-3.0,41.0,44.0,10.0,19.0,24.0,0,1.0,0.0,1.0,0.0,,1533.171,1535.829,0.574448914476,0
136,1979-11-04,1979,10,PIT,WAS,PIT,-11.0,37.0,41.0,7.0,38.0,7.0,0,1.0,0.0,1.0,0.0,,1700.789,1547.753,0.762149154234,1
137,1979-11-04,1979,10,SEA,LAR,SEA,-3.0,41.0,72.0,0.0,0.0,24.0,0,1.0,0.0,0.0,0.0,,1498.665,1496.619,0.60832805157,0
138,1979-11-04,1979,10,ARI,MIN,ARI,-5.0,39.0,44.0,8.0,37.0,7.0,0,1.0,0.0,1.0,0.0,,1432.842,1451.58,0.520934236168,1
139,1979-11-05,1979,10,MIA,TEN,MIA,-3.0,39.0,77.0,17.0,6.0,9.0,0,1.0,0.0,0.0,0.0,,1580.896,1554.33,0.620534637631,0
140,1979-11-11,1979,11,CHI,LAR,PICK,0.0,34.0,28.0,6.0,27.0,23.0,0,0.0,0.0,1.0,0.0,,1485.388,1536.148,0.631662098581,1
141,1979-11-11,1979,11,CIN,LAC,LAC,-4.0,43.0,35.0,10.0,24.0,26.0,0,0.0,1.0,1.0,0.0,,1461.809,1608.352,0.399382048187,0
142,1979-11-11,1979,11,CLE,SEA,CLE,-6.0,43.0,36.0,12.0,24.0,29.0,0,1.0,0.0,1.0,0.0,,1557.543,1459.136,0.712679172127,0
143,1979-11-11,1979,11,DEN,NE,NE,-1.0,34.0,35.0,11.0,45.0,10.0,0,0.0,1.0,1.0,0.0,,1601.328,1614.052,0.57441063538,1
144,1979-11-11,1979,11,DET,TB,TB,-5.0,35.0,72.0,0.0,14.0,16.0,0,0.0,1.0,0.0,0.0,,1340.703,1470.59,0.399835592213,0
145,1979-11-11,1979,11,GB,MIN,GB,-2.0,37.0,26.0,6.0,19.0,7.0,0,1.0,0.0,0.0,0.0,,1397.003,1422.4,0.551011097297,1
146,1979-11-11,1979,11,TEN,LVR,TEN,-1.0,40.0,72.0,0.0,31.0,17.0,0,1.0,0.0,1.0,,,,,,1
147,1979-11-11,1979,11,KC,PIT,PIT,-10.0,38.0,34.0,15.0,3.0,30.0,0,0.0,1.0,0.0,0.0,,1419.85,1714.778,0.19886232602,0
148,1979-11-11,1979,11,MIA,IND,MIA,-6.0,38.0,81.0,13.0,19.0,0.0,0,1.0,0.0,0.0,0.0,,1562.705,1412.754,0.77831672703,1
149,1979-11-11,1979,11,NO,SF,NO,-7.0,42.0,72.0,0.0,31.0,20.0,0,1.0,0.0,1.0,0.0,,1487.786,1299.424,0.769401448431,1
150,1979-11-11,1979,11,NYG,ATL,NYG,-2.0,36.0,52.0,10.0,24.0,3.0,0,1.0,0.0,0.0,0.0,,1436.875,1442.106,0.610364707318,1
151,1979-11-11,1979,11,NYJ,BUF,NYJ,-6.0,42.0,52.0,10.0,12.0,14.0,0,1.0,0.0,0.0,0.0,,1509.069,1431.818,0.686097307655,0
152,1979-11-11,1979,11,WAS,ARI,WAS,-3.0,39.0,55.0,12.0,30.0,28.0,0,1.0,0.0,1.0,0.0,,1533.765,1462.023,0.705587963748,1
153,1979-11-12,1979,11,DAL,PHI,DAL,-10.0,38.0,45.0,5.0,21.0,31.0,0,1.0,0.0,1.0,0.0,,1681.674,1511.457,0.792915445014,0
154,1979-11-18,1979,12,BUF,GB,BUF,-7.0,37.0,44.0,10.0,19.0,12.0,0,1.0,0.0,0.0,0.0,,1448.121,1419.339,0.619278857602,1
155,1979-11-18,1979,12,CHI,NYJ,CHI,-3.0,39.0,56.0,12.0,23.0,13.0,0,1.0,0.0,0.0,0.0,,1500.724,1492.766,0.586875528342,1
