,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_temperature,weather_wind_mph,score_home,score_away,stadium_neutral,home_favorite,away_favorite,hm_avg_pts_diff,aw_avg_pts_diff,elo1_pre,elo2_pre,qbelo_prob1,over,result
70,1979-10-07,1979,6,ATL,GB,ATL,-6.0,35.0,62.0,13.0,25,7,0,1.0,0.0,-0.6,0.4,1469.11,1458.122,0.573112251095,0.0,1
71,1979-10-07,1979,6,IND,NYJ,NYJ,-3.0,42.0,57.0,14.0,10,8,0,0.0,1.0,-8.4,-8.8,1346.11,1472.575,0.389345671405,0.0,1
72,1979-10-07,1979,6,BUF,CHI,BUF,-5.0,40.0,50.0,21.0,0,7,0,1.0,0.0,10.0,-0.2,1490.738,1480.412,0.636434915176,0.0,0
73,1979-10-07,1979,6,CIN,KC,PICK,0.0,38.0,49.0,14.0,7,10,0,0.0,0.0,-14.2,8.6,1409.398,1483.26,0.492741329222,0.0,0
74,1979-10-07,1979,6,CLE,PIT,PIT,-4.0,36.0,48.0,17.0,35,51,0,0.0,1.0,1.4,7.6,1538.148,1696.578,0.360109498039,1.0,0
75,1979-10-07,1979,6,DEN,LAC,LAC,-1.0,37.0,67.0,11.0,7,0,0,0.0,1.0,-2.4,12.2,1553.855,1601.846,0.505806349583,0.0,1
76,1979-10-07,1979,6,TEN,ARI,TEN,-7.0,39.0,72.0,0.0,17,24,0,1.0,0.0,1.8,-4.4,1604.465,1450.141,0.77296420883,1.0,0
77,1979-10-07,1979,6,MIN,DAL,DAL,-7.0,39.0,43.0,5.0,20,36,0,0.0,1.0,-3.8,3.8,1489.54,1653.457,0.335614812269,1.0,0
78,1979-10-07,1979,6,NE,DET,NE,-13.0,40.0,56.0,13.0,24,17,0,1.0,0.0,9.8,-8.2,1560.044,1408.271,0.795265046858,1.0,1
79,1979-10-07,1979,6,NO,LAR,LAR,-4.0,39.0,72.0,0.0,17,35,0,0.0,1.0,-1.6,1.2,1432.455,1557.731,0.40172657604,1.0,0
80,1979-10-07,1979,6,NYG,TB,TB,-6.0,34.0,60.0,16.0,17,14,0,0.0,1.0,-12.0,9.6,1351.219,1517.193,0.348572602354,0.0,1
81,1979-10-07,1979,6,PHI,WAS,PHI,-1.0,37.0,57.0,14.0,28,17,0,1.0,0.0,4.2,9.4,1560.15,1550.576,0.582586326893,1.0,1
82,1979-10-07,1979,6,SF,SEA,SEA,-5.0,43.0,61.0,14.0,24,35,0,0.0,1.0,-9.6,-6.0,1323.153,1435.72,0.441192734224,1.0,0
84,1979-10-14,1979,7,IND,TEN,TEN,-6.0,36.0,46.0,13.0,16,28,0,0.0,1.0,-6.666666666666667,0.3333333333333333,1359.391,1568.458,0.30706138991,1.0,0
85,1979-10-14,1979,7,CHI,NE,NE,-4.0,37.0,45.0,9.0,7,27,0,0.0,1.0,1.0,9.333333333333334,1506.54,1568.489,0.49721310724,0.0,0
86,1979-10-14,1979,7,CIN,PIT,PIT,-10.0,39.0,40.0,7.0,34,10,0,0.0,1.0,-12.333333333333334,9.0,1395.943,1716.619,0.18148741172,1.0,1
87,1979-10-14,1979,7,CLE,WAS,CLE,-4.0,34.0,44.0,12.0,9,13,0,1.0,0.0,-1.5,6.0,1518.107,1531.622,0.55838935862,0.0,0
88,1979-10-14,1979,7,DAL,LAR,DAL,-3.0,39.0,67.0,10.0,30,6,0,1.0,0.0,5.833333333333333,4.0,1673.053,1581.467,0.704495708106,0.0,1
89,1979-10-14,1979,7,GB,DET,GB,-4.0,36.0,41.0,10.0,24,16,0,1.0,0.0,-2.6666666666666665,-8.0,1435.788,1399.826,0.667547457423,1.0,1
90,1979-10-14,1979,7,KC,DEN,DEN,-1.0,34.0,47.0,12.0,10,24,0,0.0,1.0,7.666666666666667,-0.8333333333333334,1496.715,1573.48,0.407262328364,0.0,0
91,1979-10-14,1979,7,MIA,BUF,MIA,-6.0,40.0,74.0,12.0,17,7,0,1.0,0.0,4.166666666666667,7.166666666666667,1577.189,1464.61,0.688986648156,0.0,1
92,1979-10-14,1979,7,NYG,SF,NYG,-4.0,38.0,49.0,18.0,32,16,0,1.0,0.0,-9.5,-9.833333333333334,1369.857,1302.139,0.641478351422,1.0,1
94,1979-10-14,1979,7,LAC,SEA,LAC,-10.0,44.0,72.0,8.0,20,10,0,1.0,0.0,9.0,-3.1666666666666665,1582.221,1456.734,0.740052570937,0.0,1
95,1979-10-14,1979,7,ARI,PHI,ARI,-3.0,38.0,47.0,9.0,20,24,0,1.0,0.0,-2.5,5.333333333333333,1486.147,1579.104,0.429621260657,1.0,0
96,1979-10-14,1979,7,TB,NO,TB,-8.0,38.0,75.0,11.0,14,42,0,1.0,0.0,7.5,-4.333333333333333,1498.556,1408.719,0.702489414849,1.0,0
97,1979-10-15,1979,7,NYJ,MIN,NYJ,-4.0,42.0,50.0,13.0,14,7,0,1.0,0.0,-7.666666666666667,-5.833333333333333,1459.295,1469.944,0.561441567674,0.0,1
98,1979-10-21,1979,8,BUF,IND,BUF,-6.0,39.0,71.0,18.0,13,14,0,1.0,0.0,4.714285714285714,-7.428571428571429,1452.868,1344.764,0.704005400726,0.0,0
99,1979-10-21,1979,8,CLE,CIN,CLE,-3.0,39.0,71.0,18.0,28,27,0,1.0,0.0,-1.8571428571428572,-7.142857142857143,1499.203,1455.188,0.643676971649,1.0,1
100,1979-10-21,1979,8,DAL,ARI,DAL,-10.0,39.0,81.0,24.0,22,13,0,1.0,0.0,8.428571428571429,-2.7142857142857144,1690.408,1471.531,0.852048042499,0.0,1
101,1979-10-21,1979,8,KC,NYG,KC,-6.0,36.0,79.0,30.0,17,21,0,1.0,0.0,4.571428571428571,-5.857142857142857,1470.69,1386.839,0.702890226539,1.0,0
102,1979-10-21,1979,8,LAR,LAC,LAC,-1.0,37.0,63.0,14.0,16,40,0,0.0,1.0,0.0,9.142857142857142,1564.112,1593.272,0.521964934781,1.0,0
103,1979-10-21,1979,8,MIN,CHI,MIN,-2.0,36.0,51.0,12.0,30,27,0,1.0,0.0,-6.0,-2.0,1452.8,1475.785,0.538485670033,1.0,1
104,1979-10-21,1979,8,NE,MIA,NE,-5.0,38.0,65.0,14.0,28,13,0,1.0,0.0,10.857142857142858,5.0,1599.244,1588.93,0.629454725306,1.0,1
105,1979-10-21,1979,8,NO,DET,NO,-7.0,42.0,72.0,0.0,17,7,0,1.0,0.0,0.2857142857142857,-8.0,1460.094,1384.757,0.740081997204,0.0,1
107,1979-10-21,1979,8,SF,ATL,ATL,-4.0,42.0,57.0,7.0,20,15,0,0.0,1.0,-10.714285714285714,-2.2857142857142856,1285.156,1468.894,0.365581799587,0.0,1
108,1979-10-21,1979,8,SEA,TEN,TEN,-2.0,42.0,72.0,0.0,34,14,0,0.0,1.0,-4.142857142857143,2.0,1445.682,1583.084,0.41853889507,1.0,1
109,1979-10-21,1979,8,TB,GB,TB,-5.0,37.0,78.0,10.0,21,3,0,1.0,0.0,2.4285714285714284,-1.1428571428571428,1447.181,1450.858,0.545362404478,0.0,1
110,1979-10-21,1979,8,WAS,PHI,PHI,-2.0,38.0,70.0,9.0,17,7,0,0.0,1.0,5.714285714285714,5.142857142857143,1550.527,1593.72,0.52608625071,0.0,1
111,1979-10-22,1979,8,PIT,DEN,PIT,-7.0,37.0,68.0,9.0,42,7,0,1.0,0.0,4.285714285714286,1.2857142857142858,1657.374,1599.505,0.614812302138,1.0,1
113,1979-10-28,1979,9,IND,NE,NE,-4.0,37.0,46.0,6.0,31,26,0,0.0,1.0,-6.375,11.375,1355.754,1620.331,0.245381195649,1.0,1
114,1979-10-28,1979,9,CIN,PHI,CIN,-3.0,38.0,58.0,11.0,37,13,0,1.0,0.0,-6.375,3.25,1450.591,1571.465,0.420475156976,1.0,1
115,1979-10-28,1979,9,DEN,KC,DEN,-7.0,34.0,47.0,7.0,20,3,0,1.0,0.0,-3.25,3.5,1577.091,1446.454,0.757048759409,0.0,1
116,1979-10-28,1979,9,DET,BUF,BUF,-3.0,38.0,72.0,0.0,17,20,0,0.0,1.0,-8.25,4.0,1370.856,1441.879,0.458054884053,0.0,0
117,1979-10-28,1979,9,TEN,NYJ,TEN,-6.0,42.0,72.0,0.0,27,24,0,1.0,0.0,-0.75,-3.75,1545.136,1501.101,0.618269175018,1.0,1
118,1979-10-28,1979,9,LAR,NYG,LAR,-6.0,37.0,62.0,8.0,14,20,0,1.0,0.0,-3.0,-4.625,1528.027,1411.075,0.720735913546,0.0,0
119,1979-10-28,1979,9,MIA,GB,MIA,-11.0,36.0,75.0,13.0,27,7,0,1.0,0.0,2.5,-3.25,1567.844,1427.216,0.733148960602,0.0,1
120,1979-10-28,1979,9,MIN,TB,PICK,0.0,37.0,47.0,5.0,10,12,0,0.0,0.0,-4.875,4.375,1464.766,1470.823,0.584690466072,0.0,0
121,1979-10-28,1979,9,PIT,DAL,PIT,-3.0,39.0,51.0,12.0,14,3,0,1.0,0.0,8.125,8.5,1679.787,1697.067,0.559340912337,0.0,1
122,1979-10-28,1979,9,SF,CHI,CHI,-3.0,39.0,60.0,17.0,27,28,0,0.0,1.0,-8.75,-2.125,1310.328,1463.819,0.41095169471,1.0,0
123,1979-10-28,1979,9,ARI,CLE,ARI,-3.0,42.0,60.0,8.0,20,38,0,1.0,0.0,-3.5,-1.5,1464.871,1503.8,0.513963283594,1.0,0
124,1979-10-28,1979,9,WAS,NO,WAS,-6.0,40.0,51.0,10.0,10,14,0,1.0,0.0,6.25,1.5,1572.782,1473.995,0.738234149398,0.0,0
